count,pt1_lat,pt1_lon,pt2_lat,pt2_lon
4075,48.3538,11.7861,50.9014,4.48444
4057,39.5517,2.73881,51.1481,-0.190278
4041,44.8283,-0.715556,49.0097,2.54778
4030,52.1657,20.9671,52.3086,4.76389
4026,49.0097,2.54778,52.1657,20.9671
4013,32.0114,34.8867,40.8986,29.3092
4004,38.2822,-0.558156,53.3537,-2.27495
4004,45.6306,8.72811,51.4239,12.2364
3997,39.5517,2.73881,53.3537,-2.27495
3995,46.2381,6.10895,51.1481,-0.190278
3973,53.4213,-6.27007,55.8719,-4.43306
3960,45.5053,12.3519,49.0097,2.54778
3957,58.8767,5.63778,60.1939,11.1004
3946,41.2356,-8.67806,46.2381,6.10895
3936,41.1389,16.7606,41.8003,12.2389
3931,41.2971,2.07846,51.4775,-0.461389
3930,46.2381,6.10895,50.9014,4.48444
3916,37.0144,-7.96591,51.1481,-0.190278
3903,48.1103,16.5697,52.3514,13.4939
3896,41.8003,12.2389,50.9014,4.48444
3878,47.4647,8.54917,53.6304,9.98823
3854,45.4494,9.2783,51.4775,-0.461389
3830,50.0333,8.57056,53.4213,-6.27007
3830,51.4775,-0.461389,60.1939,11.1004
3810,45.6306,8.72811,51.1481,-0.190278
3805,38.7813,-9.13592,46.2381,6.10895
3771,51.2895,6.76678,51.4775,-0.461389
3769,55.4102,37.902,59.8003,30.2625
3768,39.5517,2.73881,48.6899,9.22196
3766,40.4719,-3.56264,46.2381,6.10895
3764,48.1103,16.5697,50.9014,4.48444
3753,41.8003,12.2389,48.3538,11.7861
3726,52.3086,4.76389,52.4539,-1.74803
3722,49.6233,6.20444,51.5053,0.055278
3704,50.0333,8.57056,52.1657,20.9671
3698,39.8626,4.21865,41.2971,2.07846
3695,52.1657,20.9671,54.3776,18.4662
3688,41.2971,2.07846,47.4647,8.54917
3670,38.7813,-9.13592,50.0333,8.57056
3665,32.0114,34.8867,34.8751,33.6249
3649,38.2822,-0.558156,51.1481,-0.190278
3603,52.3086,4.76389,60.3172,24.9633
3601,50.0333,8.57056,55.6179,12.656
3592,48.1103,16.5697,53.6304,9.98823
3582,47.4647,8.54917,51.5053,0.055278
3578,49.0097,2.54778,59.6519,17.9186
3560,51.8747,-0.368333,52.3086,4.76389
3555,48.1103,16.5697,51.2895,6.76678
3548,38.2822,-0.558156,40.4719,-3.56264
3541,41.8003,12.2389,51.1481,-0.190278
3538,48.3538,11.7861,52.1657,20.9671
3521,41.2971,2.07846,53.4213,-6.27007
3518,48.6899,9.22196,52.3514,13.4939
3517,49.4347,-2.60194,51.1481,-0.190278
3510,51.1481,-0.190278,55.6179,12.656
3505,53.8825,28.0307,55.9728,37.4147
3497,48.3538,11.7861,52.4611,9.68508
3491,47.4647,8.54917,49.0097,2.54778
3480,50.1008,14.26,52.3086,4.76389
3474,38.7813,-9.13592,50.9014,4.48444
3470,46.2381,6.10895,50.0333,8.57056
3465,41.2356,-8.67806,41.2971,2.07846
3457,50.0333,8.57056,51.4239,12.2364
3456,47.4647,8.54917,51.2895,6.76678
3453,52.3086,4.76389,55.95,-3.3725
3451,41.2753,28.7519,51.4775,-0.461389
3447,51.885,0.235,55.95,-3.3725
3439,45.6306,8.72811,48.1103,16.5697
3436,50.9014,4.48444,55.6179,12.656
3397,51.4775,-0.461389,54.6181,-5.8725
3345,41.2753,28.7519,50.0333,8.57056
3336,39.5517,2.73881,48.1103,16.5697
3332,57.6628,12.2798,59.3556,17.9436
3323,48.1103,16.5697,52.1657,20.9671
3318,48.3538,11.7861,55.6179,12.656
3316,45.6306,8.72811,52.3086,4.76389
3306,55.5346,13.3704,59.6519,17.9186
3302,44.8184,20.3091,47.4647,8.54917
3299,44.5711,26.085,52.3086,4.76389
3293,50.0333,8.57056,59.6519,17.9186
3293,41.2971,2.07846,48.1103,16.5697
3288,52.3086,4.76389,53.6304,9.98823
3280,43.6584,7.21587,46.2381,6.10895
3263,51.3827,-2.71909,53.4213,-6.27007
3235,32.0114,34.8867,41.8003,12.2389
3225,41.8003,12.2389,50.0333,8.57056
3218,51.4775,-0.461389,53.3537,-2.27495
3216,41.1389,16.7606,45.6306,8.72811
3212,41.2971,2.07846,46.2381,6.10895
3212,58.8767,5.63778,60.2934,5.21814
3207,38.2822,-0.558156,39.5517,2.73881
3206,51.3827,-2.71909,52.3086,4.76389
3203,51.4775,-0.461389,53.6304,9.98823
3180,40.8986,29.3092,51.2895,6.76678
3171,32.0114,34.8867,41.2753,28.7519
3161,50.0333,8.57056,51.5053,0.055278
3160,48.3538,11.7861,53.0475,8.78667
3149,32.0114,34.8867,48.1103,16.5697
3137,45.4494,9.2783,50.9014,4.48444
3136,49.0097,2.54778,53.3537,-2.27495
3128,51.1481,-0.190278,55.8719,-4.43306
3127,50.0333,8.57056,60.3172,24.9633
3113,45.6306,8.72811,50.0333,8.57056
3087,48.3538,11.7861,60.3172,24.9633
3084,60.2934,5.21814,61.5836,5.02472
3071,41.2753,28.7519,49.0097,2.54778
3065,51.4775,-0.461389,52.1657,20.9671
3049,38.7813,-9.13592,45.6306,8.72811
3047,51.4775,-0.461389,57.2019,-2.19778
3047,50.9014,4.48444,51.4239,12.2364
3044,51.5053,0.055278,53.4213,-6.27007
3040,48.1103,16.5697,50.8659,7.14274
3028,47.4647,8.54917,55.6179,12.656
3023,55.6179,12.656,60.2934,5.21814
3022,44.5711,26.085,48.1103,16.5697
3019,55.6179,12.656,56.3,10.619
2998,38.7813,-9.13592,49.0097,2.54778
2998,39.5517,2.73881,49.4987,11.0781
2996,50.0333,8.57056,60.1939,11.1004
2988,49.0097,2.54778,60.1939,11.1004
2966,50.9014,4.48444,53.4213,-6.27007
2963,60.1939,11.1004,60.3172,24.9633
2962,40.8986,29.3092,50.8659,7.14274
2959,38.7813,-9.13592,48.3538,11.7861
2954,49.0097,2.54778,53.6304,9.98823
2952,51.1481,-0.190278,55.95,-3.3725
2952,50.1008,14.26,52.1657,20.9671
2942,50.11,22.019,52.1657,20.9671
2926,45.6306,8.72811,49.6233,6.20444
2895,47.4298,19.2611,51.885,0.235
2893,38.2822,-0.558156,52.3086,4.76389
2886,52.1657,20.9671,55.6179,12.656
2881,41.2356,-8.67806,49.6233,6.20444
2879,56.9236,23.9711,60.3172,24.9633
2869,52.3086,4.76389,55.7403,9.15178
2862,45.66546,9.69948,51.885,0.235
2858,50.9014,4.48444,52.3514,13.4939
2837,51.2895,6.76678,52.3514,13.4939
2837,47.4298,19.2611,52.1657,20.9671
2832,40.4719,-3.56264,53.4213,-6.27007
2823,48.3538,11.7861,59.6519,17.9186
2813,40.8986,29.3092,52.3086,4.76389
2795,32.0114,34.8867,47.4298,19.2611
2784,32.0114,34.8867,49.0097,2.54778
2779,47.4298,19.2611,50.0333,8.57056
2775,51.2895,6.76678,52.3086,4.76389
2768,38.2822,-0.558156,50.9014,4.48444
2763,49.0097,2.54778,50.1008,14.26
2762,49.2081,-2.19528,51.4775,-0.461389
2760,48.6899,9.22196,53.6304,9.98823
2758,51.2895,6.76678,55.6179,12.656
2751,48.6899,9.22196,52.3086,4.76389
2750,53.3336,-2.84972,54.0833,-4.62333
2744,44.5711,26.085,49.0097,2.54778
2739,51.4775,-0.461389,52.3514,13.4939
2731,52.3514,13.4939,55.6179,12.656
2727,45.5053,12.3519,52.3086,4.76389
2724,52.3086,4.76389,57.6628,12.2798
2721,41.2971,2.07846,45.5053,12.3519
2716,51.4775,-0.461389,60.3172,24.9633
2705,47.4647,8.54917,52.1657,20.9671
2696,45.5053,12.3519,50.0333,8.57056
2694,47.4298,19.2611,52.3086,4.76389
2691,41.7991,12.5929,51.885,0.235
2689,37.418,-5.89311,39.5517,2.73881
2687,41.8003,12.2389,47.4647,8.54917
2687,52.1657,20.9671,54.6341,25.2858
2686,41.2971,2.07846,51.885,0.235
2682,40.4719,-3.56264,45.5053,12.3519
2680,50.8659,7.14274,52.8311,-1.32806
2678,40.4719,-3.56264,48.1103,16.5697
2673,36.691,3.21541,48.7231,2.35944
2670,44.8184,20.3091,48.1103,16.5697
2658,43.6584,7.21587,51.1481,-0.190278
2658,41.2971,2.07846,52.3514,13.4939
2648,37.418,-5.89311,40.4719,-3.56264
2648,47.5986,7.5291,52.3086,4.76389
2648,47.59,7.52916,52.3086,4.76389
2633,45.4494,9.2783,48.7231,2.35944
2624,33.3675,-7.58997,49.0097,2.54778
2614,48.1103,16.5697,48.6899,9.22196
2609,40.4719,-3.56264,52.3514,13.4939
2607,32.0114,34.8867,52.3086,4.76389
2606,50.9014,4.48444,52.3086,4.76389
2599,51.4775,-0.461389,55.0375,-1.69167
2599,36.691,3.21541,49.0097,2.54778
2584,38.7813,-9.13592,47.4647,8.54917
2564,44.5711,26.085,50.0333,8.57056
2560,37.0144,-7.96591,53.3537,-2.27495
2559,45.6306,8.72811,48.3538,11.7861
2558,45.5053,12.3519,48.1103,16.5697
2555,41.2753,28.7519,52.3086,4.76389
2550,41.2971,2.07846,55.6179,12.656
2549,51.8747,-0.368333,53.4213,-6.27007
2547,52.3086,4.76389,60.2934,5.21814
2544,32.0114,34.8867,50.0333,8.57056
2539,40.4719,-3.56264,44.5354,11.2887
2538,41.8003,12.2389,48.1103,16.5697
2533,50.0333,8.57056,51.2895,6.76678
2528,43.6584,7.21587,51.4775,-0.461389
2524,38.2822,-0.558156,60.1939,11.1004
2521,52.3086,4.76389,55.8719,-4.43306
2515,46.2381,6.10895,48.3538,11.7861
2507,32.0114,34.8867,51.4775,-0.461389
2499,32.0114,34.8867,44.5711,26.085
2483,47.4647,8.54917,59.6519,17.9186
2475,39.5517,2.73881,51.885,0.235
2466,48.3538,11.7861,49.6233,6.20444
2465,48.3538,11.7861,53.4213,-6.27007
2465,40.4719,-3.56264,43.4393,5.22142
2460,55.5117,37.5072,59.8003,30.2625
2437,48.3538,11.7861,48.6899,9.22196
2432,43.6584,7.21587,52.3086,4.76389
2429,53.3336,-2.84972,53.4213,-6.27007
2428,57.6628,12.2798,60.3172,24.9633
2424,38.2822,-0.558156,41.2971,2.07846
2415,45.6306,8.72811,50.9014,4.48444
2407,50.0333,8.57056,50.1008,14.26
2394,47.4298,19.2611,49.0097,2.54778
2393,52.8311,-1.32806,55.95,-3.3725
2391,60.3172,24.9633,63.0071,27.7978
2389,46.2381,6.10895,51.8747,-0.368333
2386,38.7813,-9.13592,51.1481,-0.190278
2384,50.0333,8.57056,53.3537,-2.27495
2378,45.5053,12.3519,48.3538,11.7861
2378,45.6306,8.72811,51.885,0.235
2374,50.0333,8.57056,53.0475,8.78667
2370,43.6584,7.21587,47.4647,8.54917
2363,41.2971,2.07846,53.3537,-2.27495
2355,37.0144,-7.96591,38.7813,-9.13592
2353,39.5517,2.73881,51.8747,-0.368333
2341,50.4743,19.08,52.1657,20.9671
2333,48.3538,11.7861,60.1939,11.1004
2329,51.1481,-0.190278,60.1939,11.1004
2315,39.5517,2.73881,48.7231,2.35944
2313,38.8729,1.37312,52.3086,4.76389
2312,51.4775,-0.461389,51.8413,-8.49111
2309,51.5053,0.055278,55.8719,-4.43306
2306,44.5711,26.085,48.3538,11.7861
2305,44.5711,26.085,51.8747,-0.368333
2305,58.2042,8.08537,60.2934,5.21814
2304,38.7813,-9.13592,51.885,0.235
2303,53.3537,-2.27495,55.6179,12.656
2301,49.6233,6.20444,50.0333,8.57056
2298,59.6519,17.9186,63.1944,14.5003
2291,39.5517,2.73881,52.3086,4.76389
2291,52.3514,13.4939,60.3172,24.9633
2288,52.3086,4.76389,57.2019,-2.19778
2288,37.0144,-7.96591,51.885,0.235
2287,41.2356,-8.67806,52.3086,4.76389
2287,51.1481,-0.190278,52.3514,13.4939
2282,40.4719,-3.56264,51.885,0.235
2281,40.4719,-3.56264,45.4494,9.2783
2281,52.3086,4.76389,55.0375,-1.69167
2277,49.2081,-2.19528,51.1481,-0.190278
2274,35.1547,33.4961,41.2753,28.7519
2274,41.1389,16.7606,45.66546,9.69948
2267,48.1103,16.5697,55.6179,12.656
2257,38.7813,-9.13592,41.8003,12.2389
2255,49.0097,2.54778,55.95,-3.3725
2254,49.0097,2.54778,51.2895,6.76678
2254,41.2356,-8.67806,49.0097,2.54778
2248,41.2971,2.07846,44.5354,11.2887
2247,39.5517,2.73881,52.4611,9.68508
2246,41.2971,2.07846,50.8659,7.14274
2245,41.2356,-8.67806,47.4647,8.54917
2244,45.6306,8.72811,51.4775,-0.461389
2244,33.3675,-7.58997,40.4719,-3.56264
2239,45.6306,8.72811,50.8659,7.14274
2235,48.6899,9.22196,51.4775,-0.461389
2234,47.4647,8.54917,50.9014,4.48444
2233,38.2822,-0.558156,51.3827,-2.71909
2232,41.8003,12.2389,55.6179,12.656
2226,50.0333,8.57056,51.1328,13.7672
2222,39.5517,2.73881,55.6179,12.656
2222,48.6899,9.22196,50.0333,8.57056
2222,38.2822,-0.558156,51.885,0.235
2221,50.4743,19.08,51.5183,7.61224
2210,37.0144,-7.96591,53.4213,-6.27007
2202,48.1103,16.5697,59.6519,17.9186
2200,52.3514,13.4939,53.4213,-6.27007
2197,50.0333,8.57056,55.7403,9.15178
2195,50.0333,8.57056,52.4611,9.68508
2194,39.5517,2.73881,51.3827,-2.71909
2193,53.4213,-6.27007,53.8659,-1.66057
2190,52.4539,-1.74803,54.6181,-5.8725
2189,49.4987,11.0781,50.0333,8.57056
2182,38.2822,-0.558156,59.6519,17.9186
2179,44.5711,26.085,51.4775,-0.461389
2177,44.5711,26.085,51.885,0.235
2173,55.6179,12.656,57.6628,12.2798
2170,50.0333,8.57056,57.6628,12.2798
2169,47.4647,8.54917,50.1008,14.26
2167,44.5354,11.2887,49.0097,2.54778
2167,52.1657,20.9671,52.421,16.8263
2166,59.4133,24.8328,59.6519,17.9186
2155,48.3538,11.7861,51.4239,12.2364
2153,45.6306,8.72811,47.4647,8.54917
2149,52.3514,13.4939,59.6519,17.9186
2146,50.8659,7.14274,51.885,0.235
2143,47.4298,19.2611,48.3538,11.7861
2143,51.8747,-0.368333,55.95,-3.3725
2139,45.5053,12.3519,51.1481,-0.190278
2135,45.5053,12.3519,51.4775,-0.461389
2131,48.3538,11.7861,52.1346,7.68483
2122,51.3827,-2.71909,55.8719,-4.43306
2115,39.5517,2.73881,52.4539,-1.74803
2114,52.1657,20.9671,59.6519,17.9186
2112,50.0333,8.57056,50.0777,19.7848
2109,56.2961,12.8471,59.3556,17.9436
2109,51.3827,-2.71909,55.95,-3.3725
2106,54.3776,18.4662,55.6179,12.656
2101,49.6233,6.20444,52.3086,4.76389
2100,45.6306,8.72811,55.6179,12.656
2098,48.1103,16.5697,50.1008,14.26
2097,43.6291,1.36382,48.3538,11.7861
2095,51.5053,0.055278,51.9569,4.43722
2095,40.8986,29.3092,48.1103,16.5697
2086,32.0114,34.8867,51.8747,-0.368333
2085,51.1481,-0.190278,59.6519,17.9186
2083,36.6749,-4.49911,40.4719,-3.56264
2082,45.5053,12.3519,47.4647,8.54917
2082,41.2356,-8.67806,51.1481,-0.190278
2078,58.2042,8.08537,60.1939,11.1004
2072,40.4719,-3.56264,51.2895,6.76678
2066,48.3538,11.7861,53.3537,-2.27495
2063,51.885,0.235,52.3514,13.4939
2062,49.0097,2.54778,50.8659,7.14274
2060,46.9911,15.4396,48.3538,11.7861
2051,50.9014,4.48444,60.1939,11.1004
2050,47.4298,19.2611,51.8747,-0.368333
2043,48.3538,11.7861,50.1008,14.26
2040,56.9236,23.9711,59.4133,24.8328
2039,52.1657,20.9671,59.4133,24.8328
2020,52.1657,20.9671,60.3172,24.9633
2019,50.1008,14.26,51.4775,-0.461389
2016,41.2971,2.07846,59.6519,17.9186
2013,41.2356,-8.67806,51.885,0.235
2008,49.0097,2.54778,51.1481,-0.190278
2002,38.176,13.091,41.8003,12.2389
1999,41.2971,2.07846,51.2895,6.76678
1991,36.6749,-4.49911,51.1481,-0.190278
1989,40.4719,-3.56264,43.6291,1.36382
1988,44.5711,26.085,45.66546,9.69948
1988,48.3538,11.7861,51.1328,13.7672
1983,47.7933,13.0043,50.0333,8.57056
1978,40.8986,29.3092,48.6899,9.22196
1977,40.8986,29.3092,52.3514,13.4939
1975,38.2822,-0.558156,52.4539,-1.74803
1971,40.4719,-3.56264,44.5711,26.085
