count,pt1_lat,pt1_lon,pt2_lat,pt2_lon
8355,20.8,-157.0,21.3,-157.9
4598,34.2,-118.5,36.1,-115.2
2767,33.7,-117.9,36.1,-115.2
2506,26.7,-80.1,40.9,-74.1
2429,26.7,-80.1,41.1,-73.7
2286,40.9,-74.1,42.5,-71.3
2213,51.1,-114.0,53.3,-113.6
2169,25.9,-80.3,40.9,-74.1
2107,40.9,-74.1,41.1,-73.7
2106,20.8,-156.9,21.3,-157.9
2034,34.2,-118.5,37.4,-121.9
1964,46.2,6.1,49.0,2.4
1922,33.6,-111.9,33.7,-117.9
1905,40.9,-74.1,42.4,-71.0
1903,34.2,-118.4,37.4,-121.9
1812,48.4,-89.3,50.1,-91.9
1799,26.7,-80.1,40.8,-74.1
1779,25.9,-80.3,26.7,-80.1
1775,33.7,-117.9,34.2,-118.5
1768,50.0,-110.7,51.1,-114.0
1723,34.2,-118.5,37.6,-122.4
1710,33.9,-118.4,36.1,-115.2
1707,41.1,-73.7,41.4,-70.6
1672,-27.4,153.1,-23.4,150.5
1652,40.8,-74.1,42.5,-71.3
1647,41.8,12.6,45.4,9.3
1645,33.6,-111.9,36.1,-115.2
1549,33.6,-111.9,34.2,-118.5
1520,40.8,-74.1,41.1,-73.7
1517,34.2,-118.5,40.9,-74.1
1512,-23.6,-46.7,-22.9,-43.2
1512,40.1,-83.1,42.1,-87.9
1502,42.4,-71.0,44.9,-74.8
1501,45.5,-73.4,46.8,-71.4
1494,25.9,-80.3,40.8,-74.1
1494,41.1,-73.7,41.2,-70.1
1460,46.6,-120.5,47.5,-122.3
1443,40.9,-74.1,43.7,-79.6
1434,40.8,-74.1,42.4,-71.0
1432,6.6,3.3,9.0,7.3
1403,29.6,-95.3,30.2,-97.7
1402,41.1,-73.7,42.5,-71.3
1400,43.7,-79.6,45.5,-73.7
1363,25.8,-80.3,26.7,-80.1
1361,37.0,-113.5,40.8,-112.0
1346,38.9,-77.4,40.9,-74.1
1322,33.6,-111.9,39.6,-104.9
1278,40.8,-115.8,40.8,-112.0
1269,26.4,-80.1,26.7,-80.1
1267,-32.1,115.9,-30.8,121.5
1255,34.2,-118.5,40.8,-112.0
1248,25.9,-100.2,25.9,-97.4
1242,34.2,-118.5,36.0,-115.1
1230,39.1,-108.5,39.6,-104.9
1226,46.2,6.1,49.0,2.5
1210,29.5,-98.5,29.6,-95.3
1194,-37.7,144.9,-34.2,142.1
1185,38.7,-77.5,40.4,-76.0
1174,26.7,-80.1,33.9,-84.3
1171,36.1,-115.2,40.8,-112.0
1170,34.2,-118.4,36.1,-115.2
1170,33.6,-86.8,33.9,-84.3
1166,34.2,-118.5,37.7,-122.2
1164,41.1,-73.7,42.4,-71.0
1158,-33.9,151.0,-32.2,148.6
1147,26.2,-80.2,26.7,-80.1
