count,pt1_lat,pt1_lon,pt2_lat,pt2_lon
6173,20.8,-157.0,21.3,-157.9
4648,34.2,-118.5,36.1,-115.2
2933,26.7,-80.1,41.1,-73.7
2886,33.7,-117.9,36.1,-115.2
2638,26.7,-80.1,40.9,-74.1
2445,20.8,-156.9,21.3,-157.9
2340,25.9,-80.3,40.9,-74.1
2206,46.2,6.1,49.0,2.4
2187,40.9,-74.1,41.1,-73.7
2161,34.2,-118.5,37.4,-121.9
2093,40.9,-74.1,42.5,-71.3
1961,33.7,-117.9,34.2,-118.5
1953,51.1,-114.0,53.3,-113.6
1910,33.6,-111.9,33.7,-117.9
1910,33.6,-111.9,36.1,-115.2
1898,25.9,-80.3,26.7,-80.1
1859,34.2,-118.5,37.6,-122.4
1795,26.7,-80.1,40.8,-74.1
1751,40.9,-74.1,42.4,-71.0
1743,53.3,-113.6,55.2,-118.9
1716,34.2,-118.5,40.9,-74.1
1699,34.2,-118.4,37.4,-121.9
1661,33.9,-118.4,36.1,-115.2
1627,29.6,-95.3,30.2,-97.7
1626,33.6,-111.9,34.2,-118.5
1623,50.0,-110.7,51.1,-114.0
1596,45.5,-73.4,46.8,-71.4
1575,40.9,-74.1,43.7,-79.6
1563,33.6,-111.9,39.6,-104.9
1543,25.9,-80.3,40.8,-74.1
1530,41.1,-73.7,41.4,-70.6
1527,40.8,-74.1,41.1,-73.7
1515,45.5,-73.7,46.8,-71.4
1506,41.1,-73.7,42.5,-71.3
1502,-27.4,153.1,-23.4,150.5
1496,40.8,-74.1,42.5,-71.3
1474,40.8,-115.8,40.8,-112.0
1465,43.7,-79.6,45.5,-73.7
1459,41.8,12.6,45.4,9.3
1445,34.2,-118.4,36.1,-115.2
1443,25.8,-80.3,26.7,-80.1
1412,25.9,-100.2,25.9,-97.4
1402,40.1,-83.1,42.1,-87.9
1387,-32.1,115.9,-30.8,121.5
1386,38.9,-77.4,40.9,-74.1
1376,-23.6,-46.7,-22.9,-43.2
1367,26.2,-80.2,26.7,-80.1
1347,34.2,-118.5,37.7,-122.2
1342,26.4,-80.1,26.7,-80.1
1308,41.1,-73.7,42.4,-71.0
1301,40.8,-74.1,42.4,-71.0
1260,42.4,-71.0,44.9,-74.8
1255,41.1,-73.7,41.3,-70.1
1248,39.1,-108.5,39.6,-104.9
1234,46.6,-120.5,47.5,-122.3
1230,26.7,-80.1,33.9,-84.3
1219,34.2,-118.5,40.8,-112.0
1215,26.2,-81.8,26.7,-80.1
1210,29.5,-98.5,29.6,-95.3
1202,38.7,-77.5,40.4,-76.0
1194,26.7,-80.1,42.5,-71.3
1186,33.4,-112.0,34.3,-110.0
1183,41.1,-73.7,41.2,-70.1
1182,40.8,-112.0,43.6,-116.2
1182,26.7,-80.1,28.0,-82.5
1181,30.2,-97.7,32.8,-96.8
1150,29.6,-95.3,32.8,-96.8
1129,29.5,-98.5,30.2,-97.7
1128,25.9,-100.2,29.5,-98.5
1128,46.2,6.1,51.3,-0.8
1117,34.2,-118.5,38.2,-122.3
1110,33.6,-111.9,40.8,-112.0
1103,39.6,-104.9,40.8,-112.0
1099,36.1,-115.2,40.8,-112.0
1090,33.9,-118.4,34.2,-118.5
1086,32.7,-117.2,33.6,-111.9
1079,32.7,-117.2,34.2,-118.5
1075,-37.7,144.9,-34.2,142.1
1068,30.2,-97.7,32.9,-96.9
1056,49.2,-123.2,51.1,-114.0
1035,-41.3,174.8,-38.7,176.1
1032,33.7,-117.9,37.4,-121.9
1020,49.0,2.4,51.3,-0.8
1013,34.2,-118.5,40.8,-74.1
1007,43.7,7.2,49.0,2.4
1007,36.1,-115.2,37.4,-121.9
1004,39.6,-106.9,39.6,-104.9
1003,60.8,-161.8,61.2,-150.0
996,-37.7,144.9,-36.1,147.0
991,45.5,-73.7,45.5,-73.4
987,-12.4,130.8,-12.4,130.9
980,32.7,-117.2,36.1,-115.2
979,25.8,-80.3,40.9,-74.1
978,35.8,-84.0,36.1,-86.7
977,49.0,2.4,51.9,-0.4
966,33.7,-117.9,40.8,-112.0
966,30.2,-97.7,33.0,-96.8
961,-27.4,153.1,-25.3,152.9
958,26.7,-80.1,27.2,-80.2
952,25.8,-80.3,26.2,-80.2
949,38.9,-77.4,41.1,-73.7
944,33.1,-117.3,36.1,-115.2
938,34.2,-118.5,34.4,-119.8
934,33.1,-117.3,34.2,-118.5
932,40.9,-74.1,45.5,-73.7
929,26.7,-80.1,40.7,-73.4
923,33.1,-117.3,33.7,-117.9
922,29.6,-95.3,32.9,-96.9
919,31.3,-85.5,31.3,-85.4
918,43.7,7.2,46.2,6.1
914,44.8,-93.5,44.9,-93.1
913,-41.3,174.8,-39.5,176.9
905,25.9,-80.3,41.1,-73.7
902,41.1,-73.7,41.5,-73.1
901,31.2,-81.4,33.9,-84.3
896,26.1,-80.2,26.7,-80.1
891,40.8,-112.0,43.5,-112.1
890,26.7,-80.1,39.9,-75.2
889,40.7,-73.4,41.1,-73.7
887,33.7,-117.9,36.0,-115.1
885,43.7,7.2,51.3,-0.8
883,46.3,-119.1,47.5,-122.3
879,26.7,-80.1,40.8,-74.4
879,49.2,-123.2,53.9,-122.7
879,-23.6,-46.7,-15.9,-47.9
878,37.4,-121.9,37.6,-122.4
