ADM0_A3,country,AircraftRegistration_TotalAircraftRegisteredViaAVBuyer_num_2020,AircraftRegistration_TotalJetsAndTurbopropsRegisteredViaAVBuyer_num_2019
USA,United States,46157,23575
BRA,Brazil,4539,1643
CAN,Canada,4888,1290
MEX,Mexico,2468,1242
VEN,Venezuela,1246,754
DEU,Germany,2351,750
AUS,Australia,3379,615
CHN,China,5366,421
ARG,Argentina,,363
GBR,United Kingdom,2442,325
ESP,Spain,1183,129
ZAF,South Africa,1930,
FRA,France,1860,
JPN,Japan,1799,
IND,India,1234,
IDN,Indonesia,1138,
